true
2
249
violet,pastelgreen
17,10
Date,EMA

DATA
2017-12-01 16:00,84.0462
2017-12-01 15:45,84.0120
2017-12-01 15:30,83.9547
2017-12-01 15:15,83.9312
2017-12-01 15:00,83.9271
2017-12-01 14:45,83.9287
2017-12-01 14:30,83.9217
2017-12-01 14:15,83.8848
2017-12-01 14:00,83.8681
2017-12-01 13:45,83.8522
2017-12-01 13:30,83.8515
2017-12-01 13:15,83.8719
2017-12-01 13:00,83.8646
2017-12-01 12:45,83.8657
2017-12-01 12:30,83.9091
2017-12-01 12:15,84.0023
2017-12-01 12:00,84.0895
2017-12-01 11:45,84.1204
2017-12-01 11:30,84.1375
2017-12-01 11:15,84.2514
2017-12-01 11:00,84.2562
2017-12-01 10:45,84.2265
2017-12-01 10:30,84.2257
2017-12-01 10:15,84.1759
2017-12-01 10:00,84.0927
2017-12-01 09:45,84.0444
2017-12-01 09:30,84.0187
2017-11-30 16:00,84.1229
2017-11-30 15:45,84.1124
2017-11-30 15:30,84.1319
2017-11-30 15:15,84.1312
2017-11-30 15:00,84.1703
2017-11-30 14:45,84.1648
2017-11-30 14:30,84.1659
2017-11-30 14:15,84.1428
2017-11-30 14:00,84.1701
2017-11-30 13:45,84.1534
2017-11-30 13:30,84.1297
2017-11-30 13:15,84.0808
2017-11-30 13:00,84.0299
2017-11-30 12:45,83.9743
2017-11-30 12:30,83.8708
2017-11-30 12:15,83.7954
2017-11-30 12:00,83.7315
2017-11-30 11:45,83.6896
2017-11-30 11:30,83.6717
2017-11-30 11:15,83.6710
2017-11-30 11:00,83.6512
2017-11-30 10:45,83.6537
2017-11-30 10:30,83.6301
2017-11-30 10:15,83.6234
2017-11-30 10:00,83.5953
2017-11-30 09:45,83.5320
2017-11-30 09:30,83.4858
2017-11-29 16:00,83.4549
2017-11-29 15:45,83.4804
2017-11-29 15:30,83.5105
2017-11-29 15:15,83.5440
2017-11-29 15:00,83.6115
2017-11-29 14:45,83.6274
2017-11-29 14:30,83.6557
2017-11-29 14:15,83.6859
2017-11-29 14:00,83.7072
2017-11-29 13:45,83.7488
2017-11-29 13:30,83.7396
2017-11-29 13:15,83.7284
2017-11-29 13:00,83.7614
2017-11-29 12:45,83.8328
2017-11-29 12:30,83.8601
2017-11-29 12:15,83.8978
2017-11-29 12:00,83.9763
2017-11-29 11:45,84.0799
2017-11-29 11:30,84.2176
2017-11-29 11:15,84.3215
2017-11-29 11:00,84.4108
2017-11-29 10:45,84.5443
2017-11-29 10:30,84.6186
2017-11-29 10:15,84.7438
2017-11-29 10:00,84.7780
2017-11-29 09:45,84.7664
2017-11-29 09:30,84.7912
2017-11-28 16:00,84.7825
2017-11-28 15:45,84.7609
2017-11-28 15:30,84.7477
2017-11-28 15:15,84.7472
2017-11-28 15:00,84.7233
2017-11-28 14:45,84.7040
2017-11-28 14:30,84.6593
2017-11-28 14:15,84.6525
2017-11-28 14:00,84.6819
2017-11-28 13:45,84.7190
2017-11-28 13:30,84.7255
2017-11-28 13:15,84.7089
2017-11-28 13:00,84.6787
2017-11-28 12:45,84.6540
2017-11-28 12:30,84.6337
2017-11-28 12:15,84.5990
2017-11-28 12:00,84.5610
2017-11-28 11:45,84.5379
2017-11-28 11:30,84.5087
2017-11-28 11:15,84.4618
2017-11-28 11:00,84.4089
2017-11-28 10:45,84.3797
2017-11-28 10:30,84.3130
2017-11-28 10:15,84.2381
2017-11-28 10:00,84.1088
2017-11-28 09:45,83.9663
2017-11-28 09:30,83.8307
2017-11-27 16:00,83.7864
2017-11-27 15:45,83.7678
2017-11-27 15:30,83.7562
2017-11-27 15:15,83.7398
2017-11-27 15:00,83.7296
2017-11-27 14:45,83.7006
2017-11-27 14:30,83.6874
2017-11-27 14:15,83.6957
2017-11-27 14:00,83.7234
2017-11-27 13:45,83.7486
2017-11-27 13:30,83.7739
2017-11-27 13:15,83.7848
2017-11-27 13:00,83.7769
2017-11-27 12:45,83.7918
2017-11-27 12:30,83.8011
2017-11-27 12:15,83.7858
2017-11-27 12:00,83.7691
2017-11-27 11:45,83.7356
2017-11-27 11:30,83.7223
2017-11-27 11:15,83.7173
2017-11-27 11:00,83.6800
2017-11-27 10:45,83.6389
2017-11-27 10:30,83.5930
2017-11-27 10:15,83.5381
2017-11-27 10:00,83.4644
2017-11-27 09:45,83.3754
2017-11-27 09:30,83.2599
2017-11-24 13:00,83.2343
2017-11-24 12:45,83.2286
2017-11-24 12:30,83.2186
2017-11-24 12:15,83.2083
2017-11-24 12:00,83.1957
2017-11-24 11:45,83.1782
2017-11-24 11:30,83.1522
2017-11-24 11:15,83.1260
2017-11-24 11:00,83.0873
2017-11-24 10:45,83.0568
2017-11-24 10:30,83.0484
2017-11-24 10:15,83.0714
2017-11-24 10:00,83.0961
2017-11-24 09:45,83.1441
2017-11-24 09:30,83.1984
2017-11-22 16:00,83.2202
2017-11-22 15:45,83.2447
2017-11-22 15:30,83.2569
2017-11-22 15:15,83.2873
2017-11-22 15:00,83.3167
2017-11-22 14:45,83.3360
2017-11-22 14:30,83.3418
2017-11-22 14:15,83.3677
2017-11-22 14:00,83.3850
2017-11-22 13:45,83.4022
2017-11-22 13:30,83.4038
2017-11-22 13:15,83.4215
2017-11-22 13:00,83.4163
2017-11-22 12:45,83.4143
2017-11-22 12:30,83.4131
2017-11-22 12:15,83.4138
2017-11-22 12:00,83.4235
2017-11-22 11:45,83.4287
2017-11-22 11:30,83.4284
2017-11-22 11:15,83.4347
2017-11-22 11:00,83.4446
2017-11-22 10:45,83.4823
2017-11-22 10:30,83.5118
2017-11-22 10:15,83.5544
2017-11-22 10:00,83.5976
2017-11-22 09:45,83.6516
2017-11-22 09:30,83.7164
2017-11-21 16:00,83.6931
2017-11-21 15:45,83.6871
2017-11-21 15:30,83.6858
2017-11-21 15:15,83.6804
2017-11-21 15:00,83.6694
2017-11-21 14:45,83.6614
2017-11-21 14:30,83.6562
2017-11-21 14:15,83.6509
2017-11-21 14:00,83.6424
2017-11-21 13:45,83.6196
2017-11-21 13:30,83.5951
2017-11-21 13:15,83.5762
2017-11-21 13:00,83.5598
2017-11-21 12:45,83.5442
2017-11-21 12:30,83.5363
2017-11-21 12:15,83.5166
2017-11-21 12:00,83.4914
2017-11-21 11:45,83.4575
2017-11-21 11:30,83.4125
2017-11-21 11:15,83.3553
2017-11-21 11:00,83.2832
2017-11-21 10:45,83.1817
2017-11-21 10:30,83.0943
2017-11-21 10:15,82.9663
2017-11-21 10:00,82.8277
2017-11-21 09:45,82.6961
2017-11-21 09:30,82.5663
2017-11-20 16:00,82.4700
2017-11-20 15:45,82.4566
2017-11-20 15:30,82.4470
2017-11-20 15:15,82.4474
2017-11-20 15:00,82.4516
2017-11-20 14:45,82.4551
2017-11-20 14:30,82.4651
2017-11-20 14:15,82.4717
2017-11-20 14:00,82.4738
2017-11-20 13:45,82.4702
2017-11-20 13:30,82.4680
2017-11-20 13:15,82.4608
2017-11-20 13:00,82.4688
2017-11-20 12:45,82.4597
2017-11-20 12:30,82.4551
2017-11-20 12:15,82.4629
2017-11-20 12:00,82.4591
2017-11-20 11:45,82.4512
2017-11-20 11:30,82.4553
2017-11-20 11:15,82.4432
2017-11-20 11:00,82.4316
2017-11-20 10:45,82.4164
2017-11-20 10:30,82.4223
2017-11-20 10:15,82.4128
2017-11-20 10:00,82.4190
2017-11-20 09:45,82.4178
2017-11-20 09:30,82.4229
2017-11-17 16:00,82.4102
2017-11-17 15:45,82.4124
2017-11-17 15:30,82.4196
2017-11-17 15:15,82.4306
2017-11-17 15:00,82.4375
2017-11-17 14:45,82.4391
2017-11-17 14:30,82.4456
2017-11-17 14:15,82.4546
2017-11-17 14:00,82.4610
2017-11-17 13:45,82.4635
2017-11-17 13:30,82.4776
2017-11-17 13:15,82.5015
2017-11-17 13:00,82.5243
2017-11-17 12:45,82.5452
2017-11-17 12:30,82.5553
2017-11-17 12:15,82.5676
2017-11-17 12:00,82.5826
2017-11-17 11:45,82.6005
