true
2
249
violet,pastelgreen
17,10
Date,SMA

DATA
2017-12-01 16:00,84.0203
2017-12-01 15:45,83.9763
2017-12-01 15:30,83.9397
2017-12-01 15:15,83.9197
2017-12-01 15:00,83.8917
2017-12-01 14:45,83.8487
2017-12-01 14:30,83.8137
2017-12-01 14:15,83.8000
2017-12-01 14:00,83.8083
2017-12-01 13:45,83.7768
2017-12-01 13:30,83.8143
2017-12-01 13:15,83.8773
2017-12-01 13:00,83.9099
2017-12-01 12:45,83.9689
2017-12-01 12:30,84.0569
2017-12-01 12:15,84.1389
2017-12-01 12:00,84.1939
2017-12-01 11:45,84.1539
2017-12-01 11:30,84.1665
2017-12-01 11:15,84.2065
2017-12-01 11:00,84.1970
2017-12-01 10:45,84.1535
2017-12-01 10:30,84.1500
2017-12-01 10:15,84.1210
2017-12-01 10:00,84.0930
2017-12-01 09:45,84.0640
2017-12-01 09:30,84.0725
2017-11-30 16:00,84.1435
2017-11-30 15:45,84.1615
2017-11-30 15:30,84.1900
2017-11-30 15:15,84.2045
2017-11-30 15:00,84.2530
2017-11-30 14:45,84.2545
2017-11-30 14:30,84.2468
2017-11-30 14:15,84.2118
2017-11-30 14:00,84.1868
2017-11-30 13:45,84.1298
2017-11-30 13:30,84.0798
2017-11-30 13:15,84.0088
2017-11-30 13:00,83.9538
2017-11-30 12:45,83.8918
2017-11-30 12:30,83.8228
2017-11-30 12:15,83.7898
2017-11-30 12:00,83.7555
2017-11-30 11:45,83.7260
2017-11-30 11:30,83.6830
2017-11-30 11:15,83.6500
2017-11-30 11:00,83.6100
2017-11-30 10:45,83.5700
2017-11-30 10:30,83.5480
2017-11-30 10:15,83.5320
2017-11-30 10:00,83.5090
2017-11-30 09:45,83.4800
2017-11-30 09:30,83.4580
2017-11-29 16:00,83.4745
2017-11-29 15:45,83.5195
2017-11-29 15:30,83.5430
2017-11-29 15:15,83.5510
2017-11-29 15:00,83.5980
2017-11-29 14:45,83.6130
2017-11-29 14:30,83.6175
2017-11-29 14:15,83.6165
