true
2
249
violet,pastelgreen
17,10
Date,WMA

DATA
2017-12-01 16:00,84.0699
2017-12-01 15:45,84.0292
2017-12-01 15:30,83.9692
2017-12-01 15:15,83.9437
2017-12-01 15:00,83.9331
2017-12-01 14:45,83.9201
2017-12-01 14:30,83.8935
2017-12-01 14:15,83.8412
2017-12-01 14:00,83.8136
2017-12-01 13:45,83.7840
2017-12-01 13:30,83.7766
2017-12-01 13:15,83.7979
2017-12-01 13:00,83.7989
2017-12-01 12:45,83.8187
2017-12-01 12:30,83.8890
2017-12-01 12:15,84.0070
2017-12-01 12:00,84.1131
2017-12-01 11:45,84.1502
2017-12-01 11:30,84.1725
2017-12-01 11:15,84.2783
2017-12-01 11:00,84.2723
2017-12-01 10:45,84.2293
2017-12-01 10:30,84.2147
2017-12-01 10:15,84.1549
2017-12-01 10:00,84.0718
2017-12-01 09:45,84.0271
2017-12-01 09:30,84.0112
2017-11-30 16:00,84.1191
2017-11-30 15:45,84.1175
2017-11-30 15:30,84.1475
2017-11-30 15:15,84.1602
2017-11-30 15:00,84.2144
2017-11-30 14:45,84.2252
2017-11-30 14:30,84.2410
2017-11-30 14:15,84.2304
2017-11-30 14:00,84.2607
2017-11-30 13:45,84.2398
2017-11-30 13:30,84.2070
2017-11-30 13:15,84.1450
2017-11-30 13:00,84.0802
2017-11-30 12:45,84.0096
2017-11-30 12:30,83.8974
2017-11-30 12:15,83.8210
2017-11-30 12:00,83.7615
2017-11-30 11:45,83.7262
2017-11-30 11:30,83.7104
2017-11-30 11:15,83.7058
2017-11-30 11:00,83.6785
2017-11-30 10:45,83.6658
2017-11-30 10:30,83.6273
2017-11-30 10:15,83.6040
2017-11-30 10:00,83.5602
2017-11-30 09:45,83.4875
2017-11-30 09:30,83.4362
2017-11-29 16:00,83.4088
2017-11-29 15:45,83.4415
2017-11-29 15:30,83.4775
2017-11-29 15:15,83.5122
2017-11-29 15:00,83.5773
2017-11-29 14:45,83.5905
2017-11-29 14:30,83.6119
2017-11-29 14:15,83.6295
2017-11-29 14:00,83.6319
2017-11-29 13:45,83.6513
2017-11-29 13:30,83.6239
2017-11-29 13:15,83.5969
2017-11-29 13:00,83.6195
2017-11-29 12:45,83.6788
2017-11-29 12:30,83.7050
2017-11-29 12:15,83.7555
2017-11-29 12:00,83.8526
2017-11-29 11:45,83.9801
2017-11-29 11:30,84.1425
2017-11-29 11:15,84.2715
2017-11-29 11:00,84.3848
2017-11-29 10:45,84.5371
2017-11-29 10:30,84.6275
2017-11-29 10:15,84.7616
2017-11-29 10:00,84.8003
2017-11-29 09:45,84.7896
2017-11-29 09:30,84.8083
2017-11-28 16:00,84.7925
2017-11-28 15:45,84.7663
2017-11-28 15:30,84.7514
2017-11-28 15:15,84.7499
2017-11-28 15:00,84.7274
2017-11-28 14:45,84.7126
2017-11-28 14:30,84.6782
2017-11-28 14:15,84.6824
2017-11-28 14:00,84.7202
2017-11-28 13:45,84.7626
2017-11-28 13:30,84.7734
2017-11-28 13:15,84.7595
2017-11-28 13:00,84.7344
2017-11-28 12:45,84.7167
2017-11-28 12:30,84.7086
2017-11-28 12:15,84.6916
2017-11-28 12:00,84.6747
2017-11-28 11:45,84.6653
2017-11-28 11:30,84.6407
2017-11-28 11:15,84.5905
2017-11-28 11:00,84.5280
2017-11-28 10:45,84.4810
2017-11-28 10:30,84.3936
2017-11-28 10:15,84.2954
2017-11-28 10:00,84.1451
2017-11-28 09:45,83.9861
2017-11-28 09:30,83.8410
2017-11-27 16:00,83.7881
2017-11-27 15:45,83.7617
2017-11-27 15:30,83.7444
2017-11-27 15:15,83.7230
2017-11-27 15:00,83.7091
2017-11-27 14:45,83.6819
2017-11-27 14:30,83.6746
2017-11-27 14:15,83.6923
2017-11-27 14:00,83.7284
2017-11-27 13:45,83.7599
2017-11-27 13:30,83.7914
2017-11-27 13:15,83.8090
2017-11-27 13:00,83.8099
2017-11-27 12:45,83.8331
2017-11-27 12:30,83.8512
2017-11-27 12:15,83.8474
2017-11-27 12:00,83.8459
2017-11-27 11:45,83.8237
2017-11-27 11:30,83.8145
2017-11-27 11:15,83.8059
2017-11-27 11:00,83.7605
2017-11-27 10:45,83.7079
2017-11-27 10:30,83.6483
2017-11-27 10:15,83.5800
2017-11-27 10:00,83.4952
2017-11-27 09:45,83.4011
2017-11-27 09:30,83.2893
2017-11-24 13:00,83.2670
2017-11-24 12:45,83.2598
2017-11-24 12:30,83.2445
2017-11-24 12:15,83.2238
2017-11-24 12:00,83.1964
2017-11-24 11:45,83.1641
2017-11-24 11:30,83.1247
2017-11-24 11:15,83.0885
2017-11-24 11:00,83.0434
2017-11-24 10:45,83.0108
2017-11-24 10:30,83.0044
2017-11-24 10:15,83.0317
2017-11-24 10:00,83.0612
2017-11-24 09:45,83.1126
2017-11-24 09:30,83.1679
2017-11-22 16:00,83.1921
2017-11-22 15:45,83.2184
2017-11-22 15:30,83.2348
2017-11-22 15:15,83.2695
2017-11-22 15:00,83.3026
2017-11-22 14:45,83.3253
2017-11-22 14:30,83.3347
2017-11-22 14:15,83.3626
2017-11-22 14:00,83.3813
2017-11-22 13:45,83.3984
2017-11-22 13:30,83.3996
2017-11-22 13:15,83.4127
2017-11-22 13:00,83.4022
2017-11-22 12:45,83.3934
2017-11-22 12:30,83.3844
2017-11-22 12:15,83.3762
2017-11-22 12:00,83.3751
2017-11-22 11:45,83.3762
2017-11-22 11:30,83.3771
2017-11-22 11:15,83.3888
2017-11-22 11:00,83.4081
2017-11-22 10:45,83.4567
2017-11-22 10:30,83.4980
2017-11-22 10:15,83.5514
2017-11-22 10:00,83.6034
2017-11-22 09:45,83.6625
2017-11-22 09:30,83.7275
2017-11-21 16:00,83.7071
2017-11-21 15:45,83.7043
2017-11-21 15:30,83.7056
2017-11-21 15:15,83.7024
2017-11-21 15:00,83.6929
2017-11-21 14:45,83.6864
2017-11-21 14:30,83.6826
2017-11-21 14:15,83.6790
2017-11-21 14:00,83.6732
2017-11-21 13:45,83.6559
2017-11-21 13:30,83.6404
2017-11-21 13:15,83.6351
2017-11-21 13:00,83.6339
2017-11-21 12:45,83.6371
2017-11-21 12:30,83.6495
2017-11-21 12:15,83.6500
2017-11-21 12:00,83.6433
2017-11-21 11:45,83.6224
2017-11-21 11:30,83.5779
2017-11-21 11:15,83.5104
2017-11-21 11:00,83.4185
2017-11-21 10:45,83.2920
2017-11-21 10:30,83.1747
2017-11-21 10:15,83.0172
2017-11-21 10:00,82.8533
